No.overall,No. inseason,Title,Directed by,Written by,Original air date,Prod.code,U.S. viewers(millions)
147,1,"""The One with Monica's Thunder""",Kevin S. Bright,Story by : Wil CalhounTeleplay by : David Crane & Marta Kauffman,"October 12, 2000",226401,25.54[97]
148,2,"""The One with Rachel's Book""",Michael Lembeck,Andrew Reich & Ted Cohen,"October 12, 2000",226402,27.93[97]
149,3,"""The One with Phoebe's Cookies""",Gary Halvorson,Sherry Bilsing & Ellen Plummer,"October 19, 2000",226405,22.70[97]
150,4,"""The One with Rachel's Assistant""",David Schwimmer,Brian Boyle,"October 26, 2000",226403,22.66[97]
151,5,"""The One with the Engagement Picture""",Gary Halvorson,Story by : Earl DavisTeleplay by : Patty Lin,"November 2, 2000",226404,24.43[97]
152,6,"""The One with the Nap Partners""",Gary Halvorson,Brian Buckner & Sebastian Jones,"November 9, 2000",226406,22.01[97]
153,7,"""The One with Ross's Library Book""",David Schwimmer,Scott Silveri,"November 16, 2000",226410,23.73[97]
154,8,"""The One Where Chandler Doesn't Like Dogs""",Kevin S. Bright,Patty Lin,"November 23, 2000",226407,16.57[97]
155,9,"""The One with All the Candy""",David Schwimmer,Wil Calhoun,"December 7, 2000",226408,21.08[97]
156,10,"""The One with the Holiday Armadillo""",Gary Halvorson,Gregory S. Malins,"December 14, 2000",226409,23.26[97]
157,11,"""The One with All the Cheesecakes""",Gary Halvorson,Shana Goldberg-Meehan,"January 4, 2001",226412,24.37[97]
158,12,"""The One Where They're Up All Night""",Kevin S. Bright,Zachary Rosenblatt,"January 11, 2001",226413,22.86[97]
159,13,"""The One Where Rosita Dies""",Stephen Prime,Story by : Ellen Plummer & Sherry BilsingTeleplay by : Brian Buckner & Sebastian Jones,"February 1, 2001",226415,22.24[97]
160,14,"""The One Where They All Turn Thirty""",Ben Weiss,Story by : Vanessa McCarthyTeleplay by : Ellen Plummer & Sherry Bilsing,"February 8, 2001",226411,22.40[97]
161,15,"""The One with Joey's New Brain""",Kevin S. Bright,Story by : Sherry Bilsing & Ellen PlummerTeleplay by : Andrew Reich & Ted Cohen,"February 15, 2001",226416,21.75[97]
162,16,"""The One with the Truth About London""",David Schwimmer,Story by : Brian Buckner & Sebastian JonesTeleplay by : Zachary Rosenblatt,"February 22, 2001",226417,21.22[97]
163,17,"""The One with the Cheap Wedding Dress""",Kevin S. Bright,Story by : Brian Buckner & Sebastian JonesTeleplay by : Andrew Reich & Ted Cohen,"March 15, 2001",226414,20.84[97]
164,18,"""The One with Joey's Award""",Gary Halvorson,Story by : Sherry Bilsing & Ellen PlummerTeleplay by : Brian Boyle,"March 29, 2001",226418,17.81[97]
165,19,"""The One with Ross and Monica's Cousin""",Gary Halvorson,Andrew Reich & Ted Cohen,"April 19, 2001",226421,16.55[97]
166,20,"""The One with Rachel's Big Kiss""",Gary Halvorson,Scott Silveri & Shana Goldberg-Meehan,"April 26, 2001",226419,16.30[97]
167,21,"""The One with the Vows""",Gary Halvorson,Doty Abrams,"May 3, 2001",226424,15.65[97]
168,22,"""The One with Chandler's Dad""",Kevin S. Bright & Gary Halvorson,Story by : Gregory S. MalinsTeleplay by : Brian Buckner & Sebastian Jones,"May 10, 2001",226420,17.23[97]
169170,2324,"""The One with Monica and Chandler's Wedding""",Kevin S. Bright,Gregory S. MalinsMarta Kauffman & David Crane,"May 17, 2001[b]",226422226423,30.05[97]
