No.overall,No. inseason,Title,Directed by,Written by,Original air date,Prod.code,U.S. viewers(millions)
171,1,"""The One After 'I Do'""",Kevin S. Bright,David Crane & Marta Kauffman,"September 27, 2001",227401,31.70[98]
172,2,"""The One with the Red Sweater""",David Schwimmer,Dana Klein Borkow,"October 4, 2001",227402,30.04[98]
173,3,"""The One Where Rachel Tells...""",Sheldon Epps,Sherry Bilsing & Ellen Plummer,"October 11, 2001",227403,29.20[98]
174,4,"""The One with the Videotape""",Kevin S. Bright,Scott Silveri,"October 18, 2001",227406,25.58[98]
175,5,"""The One with Rachel's Date""",Gary Halvorson,Brian Buckner & Sebastian Jones,"October 25, 2001",227404,25.64[98]
176,6,"""The One with the Halloween Party""",Gary Halvorson,Mark Kunerth,"November 1, 2001",227405,26.96[98]
177,7,"""The One with the Stain""",Kevin S. Bright,R. Lee Fleming Jr.,"November 8, 2001",227407,24.24[98]
178,8,"""The One with the Stripper""",David Schwimmer,Andrew Reich & Ted Cohen,"November 15, 2001",227408,26.54[98]
179,9,"""The One with the Rumor""",Gary Halvorson,Shana Goldberg-Meehan,"November 22, 2001",227410,24.24[98]
180,10,"""The One with Monica's Boots""",Kevin S. Bright,Story by : Robert CarlockTeleplay by : Brian Buckner & Sebastian Jones,"December 6, 2001",227409,22.44[98]
181,11,"""The One with Ross's Step Forward""""The One with The Creepy Holiday Card""",Gary Halvorson,Robert Carlock,"December 13, 2001",227411,23.85[98]
182,12,"""The One Where Joey Dates Rachel""",David Schwimmer,Sherry Bilsing-Graham & Ellen Plummer,"January 10, 2002",227412,25.53[98]
183,13,"""The One Where Chandler Takes a Bath""",Ben Weiss,Vanessa McCarthy,"January 17, 2002",227413,29.24[98]
184,14,"""The One with the Secret Closet""",Kevin S. Bright,Brian Buckner & Sebastian Jones,"January 31, 2002",227414,28.64[98]
185,15,"""The One with the Birthing Video""",Kevin S. Bright,Dana Klein Borkow,"February 7, 2002",227415,28.64[98]
186,16,"""The One Where Joey Tells Rachel""",Ben Weiss,Andrew Reich & Ted Cohen,"February 28, 2002",227416,27.52[98]
187,17,"""The One with the Tea Leaves""",Gary Halvorson,Story by : R. Lee Fleming Jr.Teleplay by : Steven Rosenhaus,"March 7, 2002",227417,26.30[98]
188,18,"""The One in Massapequa""""The One with the Zesty Guy""",Gary Halvorson,Story by : Peter TibbalsTeleplay by : Mark Kunerth,"March 28, 2002",227418,22.05[98]
189,19,"""The One with Joey's Interview""",Gary Halvorson,Doty Abrams,"April 4, 2002",227424,22.59[98]
190,20,"""The One with the Baby Shower""",Kevin S. Bright,Sherry Bilsing-Graham & Ellen Plummer,"April 25, 2002",227421,22.24[98]
191,21,"""The One with the Cooking Class""",Gary Halvorson,Story by : Dana Klein BorkowTeleplay by : Brian Buckner & Sebastian Jones,"May 2, 2002",227419,23.97[98]
192,22,"""The One Where Rachel Is Late""",Gary Halvorson,Shana Goldberg-Meehan,"May 9, 2002",227420,24.32[98]
193194,2324,"""The One Where Rachel Has a Baby""",Kevin S. Bright,Scott SilveriMarta Kauffman & David Crane,"May 16, 2002[b]",227422227423,34.91[98]
