No.overall,No. inseason,Title,Directed by,Written by,Original air date,Prod.code,U.S. viewers(millions)
25,1,"""The One with Ross's New Girlfriend""",Michael Lembeck,Jeffrey Astrof & Mike Sikowitz,"September 21, 1995",457301,32.1[11]
26,2,"""The One with the Breast Milk""",Michael Lembeck,Adam Chase & Ira Ungerleider,"September 28, 1995",457302,29.8[11]
27,3,"""The One Where Heckles Dies""",Kevin S. Bright,Michael Curtis & Gregory S. Malins,"October 5, 1995",457303,30.2[11]
28,4,"""The One with Phoebe's Husband""",Gail Mancuso,Alexa Junge,"October 12, 1995",457305,28.1[11]
29,5,"""The One with Five Steaks and an Eggplant""",Ellen Gittelsohn,Chris Brown,"October 19, 1995",457304,28.3[11]
30,6,"""The One with the Baby on the Bus""",Gail Mancuso,Betsy Borns,"November 2, 1995",457306,30.2[11]
31,7,"""The One Where Ross Finds Out""",Peter Bonerz,Michael Borkow,"November 9, 1995",457307,30.5[11]
32,8,"""The One with the List""",Mary Kay Place,David Crane & Marta Kauffman,"November 16, 1995",457308,32.9[11]
33,9,"""The One with Phoebe's Dad""",Kevin S. Bright,Jeffrey Astrof & Mike Sikowitz,"December 14, 1995",457309,27.8[11]
34,10,"""The One with Russ""",Thomas Schlamme,Ira Ungerleider,"January 4, 1996",457311,32.2[11]
35,11,"""The One with the Lesbian Wedding""",Thomas Schlamme,Doty Abrams,"January 18, 1996",457312,31.6[11]
3637,1213,"""The One After the Superbowl""",Michael Lembeck,Jeffrey Astrof & Mike SikowitzMichael Borkow,"January 28, 1996[b]",457313457314,52.9[11]
38,14,"""The One with the Prom Video""",James Burrows,Alexa Junge,"February 1, 1996",457310,33.6[11]
39,15,"""The One Where Ross and Rachel...You Know""",Michael Lembeck,Michael Curtis & Gregory S. Malins,"February 8, 1996",457315,32.9[11]
40,16,"""The One Where Joey Moves Out""",Michael Lembeck,Betsy Borns,"February 15, 1996",457316,31.1[11]
41,17,"""The One Where Eddie Moves In""",Michael Lembeck,Adam Chase,"February 22, 1996",457317,30.2[11]
42,18,"""The One Where Dr. Ramoray Dies""",Michael Lembeck,Story by : Alexa JungeTeleplay by : Michael Borkow,"March 21, 1996",457318,30.1[11]
43,19,"""The One Where Eddie Won't Go""",Michael Lembeck,Michael Curtis & Gregory S. Malins,"March 28, 1996",457319,31.2[11]
44,20,"""The One Where Old Yeller Dies""",Michael Lembeck,Story by : Michael Curtis & Gregory S. MalinsTeleplay by : Adam Chase,"April 4, 1996",457320,27.4[11]
45,21,"""The One with the Bullies""",Michael Lembeck,Brian Buckner & Sebastian Jones,"April 25, 1996",457321,24.7[11]
46,22,"""The One with the Two Parties""",Michael Lembeck,Alexa Junge,"May 2, 1996",457322,25.5[11]
47,23,"""The One with the Chicken Pox""",Michael Lembeck,Brown Mandell,"May 9, 1996",457324,26.1[11]
48,24,"""The One with Barry and Mindy's Wedding""",Michael Lembeck,Story by : Ira UngerleiderTeleplay by : Brown Mandell,"May 16, 1996",457323,29.0[11]
